driverId,position,points
lewis-hamilton,1,347
valtteri-bottas,2,223
max-verstappen,3,214
sergio-perez,4,125
daniel-ricciardo,5,119
carlos-sainz-jr,6,105
alexander-albon,7,105
charles-leclerc,8,98
lando-norris,9,97
pierre-gasly,10,75
lance-stroll,11,75
esteban-ocon,12,62
sebastian-vettel,13,33
daniil-kvyat,14,32
nico-hulkenberg,15,10
kimi-raikkonen,16,4
antonio-giovinazzi,17,4
george-russell,18,3
romain-grosjean,19,2
kevin-magnussen,20,1
nicholas-latifi,21,0
jack-aitken,22,0
pietro-fittipaldi,23,0
