time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:31.304,mercedes,mercedes,,lewis-hamilton,1,pirelli,44
1:31.867,red-bull,honda,,max-verstappen,2,pirelli,33
1:31.956,mercedes,mercedes,,valtteri-bottas,3,pirelli,77
1:32.317,racing-point,bwt-mercedes,,sergio-perez,4,pirelli,11
1:32.364,renault,renault,,daniel-ricciardo,5,pirelli,3
1:32.550,mclaren,renault,,carlos-sainz-jr,6,pirelli,55
1:32.624,renault,renault,,esteban-ocon,7,pirelli,31
1:32.847,mclaren,renault,,lando-norris,8,pirelli,4
1:33.000,alphatauri,honda,,pierre-gasly,9,pirelli,10
1:33.239,ferrari,ferrari,,charles-leclerc,10,pirelli,16
1:33.249,alphatauri,honda,,daniil-kvyat,11,pirelli,26
1:33.364,racing-point,bwt-mercedes,,lance-stroll,12,pirelli,18
1:33.583,williams,mercedes,,george-russell,13,pirelli,63
1:33.609,ferrari,ferrari,,sebastian-vettel,14,pirelli,5
1:33.008,red-bull,honda,5,alexander-albon,15,pirelli,23
1:34.592,haas,ferrari,,romain-grosjean,16,pirelli,8
1:34.594,alfa-romeo,ferrari,,antonio-giovinazzi,17,pirelli,99
1:34.681,haas,ferrari,,kevin-magnussen,18,pirelli,20
1:35.267,alfa-romeo,ferrari,,kimi-raikkonen,19,pirelli,7
1:35.066,williams,mercedes,5,nicholas-latifi,20,pirelli,6
