time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
18.242,aston-martin,mercedes,1,lance-stroll,1,pirelli,3,18
18.560,aston-martin,mercedes,2,lance-stroll,2,pirelli,4,18
18.552,williams,mercedes,1,nicholas-latifi,3,pirelli,13,6
19.039,haas,ferrari,1,mick-schumacher,4,pirelli,14,47
19.128,alpine,renault,1,esteban-ocon,5,pirelli,17,31
18.281,red-bull,rbpt,1,max-verstappen,6,pirelli,18,1
18.443,alphatauri,rbpt,1,yuki-tsunoda,7,pirelli,18,22
17.434,red-bull,rbpt,1,sergio-perez,8,pirelli,20,11
17.556,mclaren,mercedes,1,lando-norris,9,pirelli,20,4
18.150,mclaren,mercedes,1,daniel-ricciardo,10,pirelli,21,3
18.926,alphatauri,rbpt,1,pierre-gasly,11,pirelli,21,10
18.380,alfa-romeo,ferrari,1,guanyu-zhou,12,pirelli,21,24
17.973,ferrari,ferrari,1,charles-leclerc,13,pirelli,22,16
17.877,mercedes,mercedes,1,lewis-hamilton,14,pirelli,22,44
18.413,alfa-romeo,ferrari,1,valtteri-bottas,15,pirelli,22,77
18.479,mercedes,mercedes,1,george-russell,16,pirelli,23,63
20.402,aston-martin,mercedes,3,lance-stroll,17,pirelli,23,18
17.936,williams,mercedes,2,nicholas-latifi,18,pirelli,23,6
18.796,alpine,renault,1,fernando-alonso,19,pirelli,39,14
19.111,haas,ferrari,1,kevin-magnussen,20,pirelli,39,20
18.394,alpine,renault,2,fernando-alonso,21,pirelli,53,14
19.845,williams,mercedes,1,alexander-albon,22,pirelli,57,23
